Age,Gender,Race,Public,Small,Adult,Learn,Status,School
,F,Hispanic,1,5,1,Yes,Final,Monroe
9,M,Hispanic,5,5,1,Yes,Final,Monroe
10,M,Hispanic/Black,3,4,2,Yes,Final,Monroe
6,M,Hispanic/Black,5,2,5,No,Final,Monroe
12,M,Hispanic,2,5,5,Yes,Final,Monroe
10,M,Hispanic/Black,2,2,1,Yes,Final,Monroe
9,F,Hispanic,3,4,5,Yes,Final,Monroe
9,F,Hispanic,2,4,3,Yes,Final,Monroe
9,F,Hispanic,2,5,5,Yes,Final,Monroe Spanish
8,M,Hispanic,1,2,5,Yes,Final,Monroe Spanish
9,F,Hispanic,3,5,5,Yes,Final,Monroe Spanish
,M,Hispanic,1,2,4,Yes,Final,Monroe Spanish
,,,,,,,Final,La Cumbre
,,,,,,,Final,La Cumbre
,,,,,,,Final,La Cumbre
,,,,,,,Final,La Cumbre
,,,,,,,Final,La Cumbre
,,,,,,,Final,La Cumbre
,,,,,,,Final,La Cumbre
,,,,,,,Final,La Cumbre
,,,,,,,Final,La Cumbre
,,,,,,,Final,La Cumbre
,,,,,,,Final,La Cumbre
,,,,,,,Final,La Cumbre
8,M,White,5,5,5,Yes,Final,Franklin
,F,Hispanic,5,5,5,Yes,Final,Franklin
,M,,5,5,5,Yes,Final,Franklin
8,F,Hispanic,5,1,1,Yes,Final,Franklin
8,M,Hispanic/Black,5,3,5,Yes,Final,Franklin
9,F,White,1,2,4,Yes,Final,Franklin
,M,Black,1,5,2,No,Final,Franklin
7,F,White,1,5,4,Yes,Final,Franklin
7,M,White,2,2,2,Yes,Final,Franklin
7,M,,5,5,5,Yes,Final,Franklin
6,F,Hispanic/Black,1,5,5,Yes,Final,Franklin
8,F,White,5,5,5,Yes,Final,Franklin
8,F,White,4,5,5,No,Final,Franklin
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,1,5,1,,Final,Adelante
,,,1,3,1,,Final,Adelante
,,,,,,,Final,Adelante
,,,3,5,4,,Final,Adelante
,,,1,1,1,,Final,Adelante
,,,1,2,5,,Final,Adelante
,,,1,5,1,,Final,Adelante
,,,5,5,5,,Final,Adelante
,,,3,3,5,,Final,Adelante
,,,,,,,Final,Adelante
,,,,,,,Final,Adelante
,,,,,,,Final,Adelante
7,M,Hispanic,5,5,5,Yes,Final,Franklin
12,F,Hispanic,3,3,4,Yes,Final,Franklin
12,F,Hispanic,1,5,2,Yes,Final,Franklin
12,F,Hispanic,5,5,5,Yes,Final,Franklin
,,,,,,,Final,Franklin
,,,,,,,Final,Franklin
,,,,,,,Final,Franklin
,,,,,,,Final,Franklin
,,,,,,,Final,Franklin
,,,,,,,Final,Franklin
,,,,,,,Final,Franklin
,,,,,,,Final,Franklin
7,M,Hispanic,1,5,5,Yes,Final,Mckinley
6,F,Hispanic,1,5,5,No,Final,Mckinley
6,M,Hispanic,5,5,5,Yes,Final,Mckinley
7,F,Hispanic,1,5,4,Yes,Final,Mckinley
7,M,Hispanic,5,5,5,Yes,Final,Mckinley
6,M,Hispanic,5,5,5,Yes,Final,Mckinley
6,M,Hispanic,2,5,5,Yes,Final,Mckinley
6,M,Hispanic,1,5,3,Yes,Final,Mckinley
7,F,Hispanic,5,5,5,No,Final,Mckinley
6,F,Hispanic,1,5,4,Yes,Final,Mckinley
6,F,Hispanic,1,5,3,Yes,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Adams
,,,,,,,Final,Adams
,,,,,,,Final,Adams
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
,,,,,,,Final,Mckinley
6,M,Hispanic,5,5,5,Yes,Initial,Harding
6,M,White,1,4,5,Yes,Initial,Harding
6,M,White,1,5,1,Yes,Initial,Harding
8,F,Hispanic,3,5,5,Yes,Initial,Harding
7,M,,5,1,5,Yes,Initial,Harding
8,M,Hispanic,5,5,5,Yes,Initial,Harding
8,F,Hispanic,5,5,5,Yes,Initial,Harding
6,M,Hispanic,5,5,5,Yes,Initial,Harding
,F,White,3,2,5,Yes,Initial,Harding
7,M,White,1,5,5,Yes,Initial,Harding
6,F,White,5,5,5,,Initial,Harding
6,F,White,5,5,5,Yes,Initial,Harding
7,M,Hispanic,5,5,5,Yes,Initial,Harding
7,F,Hispanic,3,4,5,Yes,Initial,Harding
7,F,Hispanic,2,2,5,Yes,Initial,Harding
6,F,Hispanic,5,1,5,Yes,Initial,Harding
7,F,Hispanic,5,1,5,Yes,Initial,Harding
6,F,White,1,1,3,No,Initial,Harding
7,F,Hispanic,5,5,5,Yes,Initial,Harding
6,M,Hispanic/White,1,5,5,Yes,Initial,Harding
7,F,,5,5,5,Yes,Initial,Harding
8,F,Hispanic,2,5,1,Yes,Initial,Adams
7,F,Hispanic,5,5,5,Yes,Initial,Adams
9,M,Hispanic,1,5,4,Yes,Initial,Adams
9,F,Hispanic,2,4,3,Yes,Initial,Adams
6,F,Hispanic,3,3,5,Yes,Initial,Adams
7,M,Black,3,5,5,Yes,Initial,Adams
6,M,White,5,5,5,Yes,Initial,Adams
9,F,Hispanic,3,5,1,Yes,Initial,Adams
8,F,Hispanic,4,3,1,Yes,Initial,Adams
9,M,Hispanic,2,4,5,Yes,Initial,Adams
8,M,Hispanic,1,4,5,Yes,Initial,Adams
8,M,Hispanic,3,4,3,Yes,Initial,Adams
7,M,Hispanic,3,1,5,Yes,Initial,Adams
6,M,White,5,4,1,Yes,Initial,Adams
